transaction_id,customer_id,timestamp,origin_country,destination_country,amount,currency,merchant
TXN008001,CUST9760,2025-04-03 22:00:33,LY,SK,9540.1,USD,"Ford, Taylor and Moore"
TXN008002,CUST5187,2025-06-18 01:52:07,MW,TM,15489.94,USD,Craig and Sons
TXN008003,CUST7015,2025-01-28 21:49:20,FJ,LC,12074.92,USD,"Alvarado, Carr and Graves"
TXN008004,CUST2117,2025-01-30 07:02:16,JM,PK,3039.98,USD,Morris Ltd
TXN008005,CUST1341,2025-07-01 19:35:09,KG,UY,14686.39,USD,Jackson Ltd
TXN008006,CUST1569,2025-09-07 03:44:42,TZ,KE,7092.44,USD,Hunter and Sons
TXN008007,CUST2781,2025-04-27 02:28:14,TH,AU,180.98,USD,Frederick Ltd
TXN008008,CUST7533,2025-08-17 23:56:46,CD,MK,4456.38,USD,"Williams, Jimenez and Conner"
TXN008009,CUST3452,2025-01-26 10:36:52,JM,DO,17318.51,USD,Jones Inc
TXN008010,CUST2005,2025-08-22 14:24:28,AT,KM,17940.34,USD,Arellano-Mays
TXN008011,CUST1842,2025-04-27 03:06:02,TG,ML,1695.85,USD,Shepard PLC
TXN008012,CUST8744,2025-07-18 03:18:38,KM,JP,3597.39,USD,Bailey and Sons
TXN008013,CUST5710,2025-04-20 17:51:37,BR,LK,2360.83,USD,"Lee, Jones and Lowery"
TXN008014,CUST6542,2025-08-20 02:19:02,SI,HR,19312.9,USD,Davis-Jones
TXN008015,CUST1744,2025-05-30 16:12:51,GT,SK,2789.89,USD,Wells and Sons
TXN008016,CUST5734,2025-04-17 08:30:35,KZ,IL,4761.27,USD,Rowe-Houston
TXN008017,CUST3899,2025-07-13 15:11:52,TT,ID,19563.93,USD,Lewis Inc
TXN008018,CUST8648,2025-05-23 01:04:51,TO,CM,17277.39,USD,Shelton-Kim
TXN008019,CUST7715,2025-07-02 06:34:42,MN,PE,11149.3,USD,Fuentes-Blair
TXN008020,CUST4433,2025-07-31 02:13:01,KH,AO,772.62,USD,Forbes-Mills
TXN008021,CUST1618,2025-02-27 17:22:40,TZ,VC,17995.04,USD,"Morris, Sosa and Morris"
TXN008022,CUST8668,2025-01-12 16:41:03,IL,NL,14162.0,USD,Moore-Thornton
TXN008023,CUST1338,2025-06-20 07:37:48,UG,LR,6622.5,USD,Lowe-Shannon
TXN008024,CUST8121,2025-08-16 22:48:45,ZA,GA,860.6,USD,Garcia-Howard
TXN008025,CUST8719,2025-01-19 20:26:18,VU,AO,829.05,USD,Thompson Ltd
TXN008026,CUST4916,2025-01-01 15:52:02,BN,IL,4859.3,USD,"Ford, Jackson and Bernard"
TXN008027,CUST1072,2025-05-29 10:26:15,TJ,HR,12072.33,USD,"Hill, Lopez and Mason"
TXN008028,CUST2399,2025-03-15 06:23:51,TZ,SR,348.24,USD,"Cooper, Higgins and Hernandez"
TXN008029,CUST9761,2025-01-06 18:37:19,MZ,TW,2195.23,USD,"Mercado, Ramirez and Russell"
TXN008030,CUST9937,2025-05-14 20:09:57,IS,MX,17554.38,USD,Reynolds PLC
TXN008031,CUST1663,2025-01-07 01:57:30,KN,UG,19417.62,USD,"Jones, Mejia and Oliver"
TXN008032,CUST7964,2025-07-19 19:33:44,IQ,SI,5915.1,USD,Fisher-Lamb
TXN008033,CUST9064,2025-02-04 15:35:37,HT,GD,11754.13,USD,Bell-Barry
TXN008034,CUST5274,2025-06-19 21:19:10,SD,BZ,10543.47,USD,King and Sons
TXN008035,CUST1921,2025-05-18 14:22:49,CM,MA,3319.69,USD,Valentine Inc
TXN008036,CUST9285,2025-08-06 07:56:12,AR,CO,19128.25,USD,Freeman PLC
TXN008037,CUST3278,2025-05-18 08:43:41,WS,TO,12060.48,USD,Abbott and Sons
TXN008038,CUST2465,2025-01-25 01:00:12,BE,MY,6718.1,USD,Pittman-King
TXN008039,CUST6161,2025-03-25 04:39:05,ML,HU,3684.62,USD,"Robles, Kim and Barker"
TXN008040,CUST9529,2025-02-24 11:39:33,LS,SI,12400.26,USD,Smith Group
TXN008041,CUST8248,2025-04-24 04:22:21,GY,MC,12352.65,USD,Young and Sons
TXN008042,CUST6571,2025-04-13 21:25:43,CD,CA,8083.43,USD,Maxwell Ltd
TXN008043,CUST5473,2025-04-08 00:01:24,CO,MV,3865.29,USD,"Dodson, Jackson and Reyes"
TXN008044,CUST5575,2025-03-02 21:45:28,GW,KP,5122.71,USD,Booker-Hines
TXN008045,CUST3969,2025-08-03 17:03:04,DJ,EC,19265.7,USD,Miller-Vaughn
TXN008046,CUST3956,2025-03-19 06:22:09,CZ,LT,5533.13,USD,"Scott, Griffin and Sparks"
TXN008047,CUST7568,2025-05-05 11:36:35,AF,DM,13044.58,USD,Rodriguez-Reese
TXN008048,CUST9931,2025-02-06 18:32:21,NP,SC,13807.05,USD,Mathews Group
TXN008049,CUST9305,2025-02-04 14:38:12,CH,TM,16116.58,USD,Rojas-Williams
TXN008050,CUST2944,2025-02-17 23:15:30,MM,MM,11276.84,USD,"Martinez, Pugh and Stewart"
TXN008051,CUST3178,2025-05-15 10:00:21,VA,CF,4208.08,USD,"Lam, Hansen and Kirby"
TXN008052,CUST7695,2025-02-25 11:44:49,PL,AE,8593.34,USD,Frazier-Morton
TXN008053,CUST7895,2025-01-17 23:27:36,CD,KI,17791.81,USD,Brock PLC
TXN008054,CUST4837,2025-04-15 22:59:28,FR,PE,17666.12,USD,"Stephens, Alvarado and Harrison"
TXN008055,CUST5454,2025-05-15 11:57:13,CI,PS,11882.03,USD,Mcguire LLC
TXN008056,CUST1520,2025-08-30 23:56:39,DZ,SE,18695.19,USD,"Schmidt, Cruz and Carter"
TXN008057,CUST8935,2025-08-10 08:10:12,BD,BI,13394.57,USD,"Lopez, Hogan and Jones"
TXN008058,CUST4701,2025-07-15 22:15:43,JM,TN,9952.15,USD,"Anderson, Beltran and Smith"
TXN008059,CUST9109,2025-01-10 20:05:23,ZA,MY,677.49,USD,Sweeney Ltd
TXN008060,CUST8648,2025-03-06 19:03:04,AE,TO,18488.1,USD,Hall Group
TXN008061,CUST7510,2025-01-04 09:13:58,LR,SC,7293.88,USD,Reeves LLC
TXN008062,CUST7358,2025-03-30 17:01:07,DJ,KI,9703.69,USD,Evans Ltd
TXN008063,CUST9760,2025-05-30 18:45:45,BJ,BY,13172.58,USD,"Faulkner, Pittman and Mccall"
TXN008064,CUST4781,2025-07-09 16:44:29,PS,UY,19228.6,USD,Haney-Jones
TXN008065,CUST4837,2025-02-16 22:18:46,TM,HU,6200.06,USD,"Salazar, Macdonald and Perkins"
TXN008066,CUST8651,2025-05-24 23:48:03,ES,ME,18577.86,USD,"Hamilton, King and Craig"
TXN008067,CUST9060,2025-03-23 16:37:19,BJ,AD,12519.38,USD,Cunningham-Ibarra
TXN008068,CUST3555,2025-01-22 06:23:10,ID,SC,5754.29,USD,"Garcia, Burnett and Becker"
TXN008069,CUST6499,2025-04-16 14:28:04,NP,SV,14249.41,USD,"Garner, Sanchez and Hinton"
TXN008070,CUST1369,2025-05-28 13:20:02,BT,MZ,3711.57,USD,Kirby-Frank
TXN008071,CUST5941,2025-06-03 18:46:49,NR,FI,16476.63,USD,Phillips-Sandoval
TXN008072,CUST4116,2025-01-17 19:47:01,QA,NG,9312.76,USD,Jackson Ltd
TXN008073,CUST9561,2025-07-22 12:33:13,CN,VN,16573.78,USD,"Cannon, Hardin and Zamora"
TXN008074,CUST9716,2025-01-21 04:39:19,LR,FR,13491.9,USD,Jones and Sons
TXN008075,CUST6420,2025-06-22 07:28:33,PT,BF,4047.2,USD,Perez Ltd
TXN008076,CUST1241,2025-07-28 10:08:20,KG,DO,5068.13,USD,Cook-Hudson
TXN008077,CUST7927,2025-07-10 00:12:58,NO,TM,17557.08,USD,Miller-Brown
TXN008078,CUST7162,2025-01-13 19:36:30,BN,PL,18712.48,USD,Hughes and Sons
TXN008079,CUST5493,2025-06-03 07:24:07,UG,TJ,19496.08,USD,Miller-Hayes
TXN008080,CUST1448,2025-07-03 19:08:36,PG,BY,7559.21,USD,Watkins-Reilly
TXN008081,CUST1296,2025-08-06 02:51:34,LA,DZ,16307.77,USD,Merritt-Lopez
TXN008082,CUST8553,2025-01-29 18:39:54,DM,TD,16947.71,USD,"Abbott, Cruz and Hodge"
TXN008083,CUST9046,2025-06-27 16:39:05,ZA,ZA,19233.63,USD,"Moore, Watson and Reid"
TXN008084,CUST7510,2025-05-22 19:32:46,LS,DZ,11679.67,USD,Burnett and Sons
TXN008085,CUST5622,2025-02-20 15:29:58,AD,IR,19253.0,USD,Parker PLC
TXN008086,CUST8799,2025-03-04 11:02:46,UA,BO,6731.1,USD,"Khan, Rowe and Baker"
TXN008087,CUST1190,2025-07-29 08:39:04,KG,SK,160.75,USD,Rodriguez Group
TXN008088,CUST7679,2025-02-27 06:15:29,AD,KN,17302.32,USD,Beck-Stephens
TXN008089,CUST3880,2025-06-14 16:59:42,BJ,LB,2779.01,USD,Duarte-Thompson
TXN008090,CUST5797,2025-02-25 15:15:56,KE,AF,9826.27,USD,Russell-Hughes
TXN008091,CUST1072,2025-06-26 05:23:40,IT,NZ,12578.17,USD,Lang-Moore
TXN008092,CUST9001,2025-06-13 19:25:44,BG,CL,6292.06,USD,"Ochoa, Lucas and Gonzalez"
TXN008093,CUST9880,2025-08-02 22:00:19,TJ,VN,5.32,USD,Schmitt-Taylor
TXN008094,CUST6542,2025-03-12 11:39:38,DJ,CZ,14042.56,USD,"Ritter, Davis and Wagner"
TXN008095,CUST3178,2025-07-25 00:24:43,LA,DK,8380.21,USD,Brandt LLC
TXN008096,CUST4349,2025-08-08 02:48:28,SV,GE,1581.38,USD,Johnson Group
TXN008097,CUST6831,2025-06-30 20:39:52,SI,NA,15008.93,USD,Lopez LLC
TXN008098,CUST2655,2025-02-04 23:59:14,BZ,CD,1061.43,USD,"Green, Chang and Harrison"
TXN008099,CUST5709,2025-01-27 15:06:51,HU,NA,7480.69,USD,Nelson-Kennedy
TXN008100,CUST4054,2025-07-09 03:40:59,SM,LR,8640.81,USD,"Arroyo, Mcdaniel and Young"
TXN008101,CUST8230,2025-07-26 10:11:15,TZ,KW,5527.93,USD,Contreras Group
TXN008102,CUST4396,2025-08-20 03:19:45,GB,KW,9894.69,USD,"Arnold, Freeman and Simpson"
TXN008103,CUST1241,2025-04-05 17:51:42,TN,LA,3441.77,USD,Woods-Barrett
TXN008104,CUST6209,2025-06-30 14:26:05,ZA,IE,10129.21,USD,Shepard-Perez
TXN008105,CUST2448,2025-07-09 20:40:34,SV,EE,2725.68,USD,Pierce Inc
TXN008106,CUST2135,2025-07-23 13:43:53,JP,PW,10582.12,USD,Todd-Yang
TXN008107,CUST4161,2025-03-19 18:09:12,SE,FR,4817.49,USD,Turner PLC
TXN008108,CUST3647,2025-05-05 09:51:06,BD,DM,15431.27,USD,Kelley Ltd
TXN008109,CUST6508,2025-02-16 09:55:21,SB,GA,13233.08,USD,Knapp and Sons
TXN008110,CUST3685,2025-08-17 00:34:27,LT,HU,14560.19,USD,"Nixon, Hull and Gill"
TXN008111,CUST1874,2025-03-17 10:22:36,MA,FR,7230.11,USD,"Fry, Carpenter and Chaney"
TXN008112,CUST9287,2025-03-17 22:48:55,BS,ES,3676.77,USD,Nguyen Ltd
TXN008113,CUST8172,2025-06-10 00:27:10,ZW,NE,3556.91,USD,Spencer-Smith
TXN008114,CUST7736,2025-03-03 17:40:32,HT,KZ,19955.88,USD,"Long, Calhoun and Atkins"
TXN008115,CUST8415,2025-07-03 16:53:10,LV,SE,8164.38,USD,"Bowers, Ingram and Miller"
TXN008116,CUST5634,2025-02-16 00:57:53,CH,TG,1402.23,USD,"Gregory, Harris and Smith"
TXN008117,CUST9000,2025-02-04 06:04:04,AD,ZA,17698.05,USD,Hall Ltd
TXN008118,CUST3955,2025-06-03 11:08:11,BJ,GY,14054.1,USD,Martin PLC
TXN008119,CUST2078,2025-06-30 18:13:03,MK,IL,1038.76,USD,Thompson LLC
TXN008120,CUST1976,2025-05-26 00:22:19,GQ,WS,3853.61,USD,"Rodriguez, Salinas and Howell"
TXN008121,CUST7823,2025-08-12 20:28:46,JM,ME,17905.41,USD,Zuniga-Rodriguez
TXN008122,CUST7694,2025-01-05 19:00:07,PK,CF,19036.84,USD,Floyd PLC
TXN008123,CUST7357,2025-08-26 22:23:54,SB,MH,18289.21,USD,Morales LLC
TXN008124,CUST1506,2025-03-13 09:16:30,NL,SO,14006.95,USD,Holmes Group
TXN008125,CUST1506,2025-01-27 05:16:51,TN,TM,6124.29,USD,Humphrey-Wood
TXN008126,CUST2944,2025-01-18 09:55:05,CZ,GA,13065.85,USD,"Robertson, Wilson and Ross"
TXN008127,CUST5331,2025-04-17 02:32:55,DM,AF,19709.13,USD,"Silva, Gutierrez and Logan"
TXN008128,CUST1574,2025-08-06 15:41:46,PS,TD,8892.74,USD,Evans-Arellano
TXN008129,CUST7594,2025-03-24 04:19:29,TT,MY,163.21,USD,Carey-Johnson
TXN008130,CUST5474,2025-05-19 05:28:33,RW,BJ,6942.28,USD,Glover-Fitzpatrick
TXN008131,CUST3701,2025-05-28 09:35:45,AF,AR,13038.56,USD,"Park, Todd and Moore"
TXN008132,CUST5909,2025-08-03 13:44:31,CV,CL,18770.42,USD,Trevino-Bailey
TXN008133,CUST8112,2025-06-14 15:01:52,BW,GN,16230.06,USD,Salazar-Gibson
TXN008134,CUST4002,2025-03-16 21:59:30,CF,EE,17961.83,USD,Freeman Ltd
TXN008135,CUST1139,2025-03-14 04:40:53,TW,ME,6117.34,USD,"Graves, Reed and Love"
TXN008136,CUST2963,2025-01-12 09:04:14,TW,SZ,3048.81,USD,Gray-Velasquez
TXN008137,CUST7945,2025-06-05 14:05:56,EG,LK,3328.27,USD,"Bishop, Hull and Holmes"
TXN008138,CUST3943,2025-05-05 13:14:13,PS,GB,10168.15,USD,Jackson-Williams
TXN008139,CUST3127,2025-06-04 18:15:11,ER,TD,319.16,USD,"Johnson, Johnson and Gray"
TXN008140,CUST4523,2025-05-26 20:36:28,AU,JM,3349.44,USD,Weber LLC
TXN008141,CUST6603,2025-02-25 15:46:20,SN,BJ,1943.83,USD,Carlson LLC
TXN008142,CUST7715,2025-08-02 17:53:24,TD,US,18306.5,USD,Walker-Palmer
TXN008143,CUST4225,2025-05-14 21:25:29,ID,NG,1602.46,USD,Cabrera Inc
TXN008144,CUST1597,2025-01-13 06:43:08,MG,AZ,13911.0,USD,"Walker, Charles and Russell"
TXN008145,CUST8732,2025-07-17 05:50:46,BA,CM,9426.78,USD,Dickerson PLC
TXN008146,CUST1506,2025-08-31 01:38:25,HN,AD,4931.43,USD,"Anderson, Logan and Garza"
TXN008147,CUST7443,2025-02-25 23:17:33,AD,MT,7547.78,USD,"Burton, Brown and Christian"
TXN008148,CUST4116,2025-03-13 21:42:56,ZW,GA,18106.19,USD,Foster Inc
TXN008149,CUST5316,2025-07-05 10:13:17,CD,DE,2730.15,USD,"Vargas, Schultz and Reid"
TXN008150,CUST8952,2025-07-27 10:53:24,GR,ST,13933.56,USD,"Solomon, Arnold and Hill"
TXN008151,CUST8719,2025-04-18 17:28:16,GW,LA,14554.03,USD,Bailey LLC
TXN008152,CUST3275,2025-01-21 14:07:47,ST,ET,4739.99,USD,"Fitzpatrick, Brown and Moses"
TXN008153,CUST3119,2025-01-16 06:39:28,GM,CV,3430.51,USD,"Rubio, Johnson and Salazar"
TXN008154,CUST3278,2025-01-09 05:44:35,SI,VE,19687.47,USD,Nelson-Shepherd
TXN008155,CUST3270,2025-02-05 09:06:16,CD,NE,3264.55,USD,"Miller, Downs and Gonzalez"
TXN008156,CUST3955,2025-05-15 12:12:41,GN,BZ,12388.53,USD,"Hughes, Miller and Contreras"
TXN008157,CUST4280,2025-06-24 01:17:50,DM,LU,16293.05,USD,Forbes-Chandler
TXN008158,CUST5018,2025-08-25 12:30:17,GT,EC,18248.24,USD,Montgomery-Harrison
TXN008159,CUST3384,2025-01-04 02:36:05,LY,IR,17358.6,USD,Gibson and Sons
TXN008160,CUST3955,2025-04-08 19:25:41,BD,KI,4657.69,USD,Hughes Group
TXN008161,CUST5337,2025-05-24 14:58:04,HR,GM,17972.04,USD,Fitzgerald-Green
TXN008162,CUST1941,2025-08-14 23:39:54,SM,HT,15225.6,USD,Hall-Kelly
TXN008163,CUST2377,2025-03-29 09:44:00,DO,IL,4889.24,USD,"Watkins, Rivera and George"
TXN008164,CUST3031,2025-04-16 20:02:04,LI,HR,14928.45,USD,"Martin, Terrell and Greene"
TXN008165,CUST1147,2025-03-13 09:41:39,LT,CV,3508.15,USD,"Bell, Adkins and Hunt"
TXN008166,CUST1929,2025-06-30 13:01:39,AD,SZ,16552.2,USD,Cook Inc
TXN008167,CUST7533,2025-02-05 03:58:34,NZ,GD,835.7,USD,Watson-Hamilton
TXN008168,CUST2944,2025-05-31 18:13:15,PA,SM,7396.16,USD,Harding LLC
TXN008169,CUST5666,2025-05-08 04:26:47,ZW,VU,7055.03,USD,Daniels and Sons
TXN008170,CUST5337,2025-02-11 12:02:02,TO,PA,3002.64,USD,"Dominguez, Simpson and Heath"
TXN008171,CUST3253,2025-01-28 08:42:27,SN,BR,8833.3,USD,Hernandez and Sons
TXN008172,CUST9880,2025-01-13 19:15:06,NZ,NP,10814.82,USD,"Stephenson, Davis and Choi"
TXN008173,CUST9539,2025-07-05 01:42:37,NR,VN,7492.26,USD,"Garcia, White and Morris"
TXN008174,CUST3031,2025-03-30 18:42:35,BT,FJ,1710.41,USD,"Fernandez, Burke and Smith"
TXN008175,CUST1019,2025-05-03 19:14:38,BH,MW,7900.16,USD,Johnson-Coleman
